iter	Passed	Remaining
1164	6735	10609
1165	6739	10600
1166	6744	10593
1167	6749	10586
1168	6753	10578
1169	6757	10570
1170	6762	10561
1171	6766	10553
1172	6770	10545
1173	6774	10537
1174	6779	10529
1175	6784	10523
1176	6789	10515
1177	6793	10507
1178	6798	10499
1179	6802	10491
1180	6806	10483
1181	6810	10475
1182	6814	10467
1183	6819	10458
1184	6823	10450
1185	6827	10442
1186	6831	10434
1187	6836	10426
1188	6840	10418
1189	6844	10410
1190	6848	10402
1191	6853	10394
1192	6857	10386
1193	6861	10378
1194	6865	10370
1195	6870	10362
1196	6874	10354
1197	6878	10346
1198	6882	10338
1199	6886	10330
1200	6891	10322
1201	6895	10314
1202	6899	10306
1203	6904	10298
1204	6908	10290
1205	6912	10282
1206	6916	10274
1207	6920	10266
1208	6924	10258
1209	6928	10250
1210	6933	10242
1211	6937	10234
1212	6941	10226
1213	6945	10218
1214	6950	10210
1215	6954	10202
1216	6958	10194
1217	6962	10186
1218	6966	10178
1219	6971	10171
1220	6975	10163
1221	6979	10155
1222	6984	10147
1223	6988	10139
1224	6992	10131
1225	6996	10124
1226	7000	10116
1227	7005	10108
1228	7009	10100
1229	7013	10092
1230	7017	10084
1231	7021	10076
1232	7025	10068
1233	7029	10060
1234	7034	10052
1235	7038	10045
1236	7042	10037
1237	7046	10029
1238	7051	10021
1239	7055	10014
1240	7059	10006
1241	7063	9998
1242	7067	9990
1243	7072	9983
1244	7077	9976
1245	7089	9979
1246	7103	9986
1247	7111	9983
1248	7115	9975
1249	7119	9967
1250	7124	9960
1251	7128	9952
1252	7132	9944
1253	7136	9937
1254	7141	9929
1255	7145	9921
1256	7149	9914
1257	7153	9906
1258	7158	9898
1259	7162	9891
1260	7166	9883
1261	7171	9876
1262	7175	9868
1263	7180	9861
1264	7184	9853
1265	7188	9846
1266	7193	9838
1267	7197	9831
1268	7201	9823
1269	7205	9815
1270	7211	9809
1271	7215	9802
1272	7219	9794
1273	7224	9787
1274	7228	9779
1275	7233	9772
1276	7237	9765
1277	7242	9758
1278	7246	9750
1279	7250	9742
1280	7255	9736
1281	7262	9732
1282	7270	9729
1283	7276	9724
1284	7282	9719
1285	7289	9715
1286	7295	9709
1287	7300	9704
1288	7304	9696
1289	7309	9688
1290	7313	9681
1291	7317	9673
1292	7322	9666
1293	7326	9658
1294	7330	9651
1295	7334	9643
1296	7339	9636
1297	7343	9629
1298	7347	9621
1299	7352	9614
1300	7356	9607
1301	7360	9599
1302	7365	9592
1303	7369	9585
1304	7374	9577
1305	7378	9570
1306	7382	9562
1307	7386	9555
1308	7391	9547
1309	7395	9540
1310	7399	9533
1311	7404	9526
1312	7409	9519
1313	7413	9512
1314	7417	9505
1315	7422	9497
1316	7426	9490
1317	7431	9483
1318	7435	9475
1319	7439	9468
1320	7443	9461
1321	7447	9453
1322	7452	9446
1323	7456	9438
1324	7460	9431
1325	7465	9424
1326	7469	9416
1327	7473	9409
1328	7477	9401
1329	7482	9394
1330	7486	9387
1331	7490	9380
1332	7495	9373
1333	7499	9365
1334	7503	9358
1335	7508	9351
1336	7512	9343
1337	7516	9336
1338	7520	9329
1339	7525	9322
1340	7529	9314
1341	7533	9307
1342	7537	9300
1343	7542	9293
1344	7546	9285
1345	7550	9278
1346	7555	9271
1347	7559	9264
1348	7563	9257
1349	7568	9249
1350	7572	9242
